Job Number,Part Number,Due Date,Priority,Quantity,WorkCenter,Run Time,Setup Time,Place,Customer
MO-250205000550,M0106-003423,15/04/2025,1,1,北村800_北京,27.8,1,北京,2
MO-250205000550,M0106-003423,15/04/2025,1,1,I630柔性线_北京,3.5,0.5,北京,2
MO-250205000549,M0106-003423,15/04/2025,2,1,北村800_北京,27.8,1,北京,2
MO-250205000549,M0106-003423,15/04/2025,2,1,I630柔性线_北京,3.5,0.5,北京,2
MO-250205000548,M0106-003423,15/04/2025,3,1,北村800_北京,27.8,1,北京,2
MO-250205000548,M0106-003423,15/04/2025,3,1,I630柔性线_北京,3.5,0.5,北京,2
MO-250205000546,M0106-003423,15/04/2025,4,1,北村800_北京,13.3,0.5,北京,2
MO-250205000546,M0106-003423,15/04/2025,4,1,I630柔性线_北京,3.5,0.5,北京,2
MO-250205000545,M0106-003423,15/04/2025,5,1,北村800_北京,13.3,0.5,北京,2
MO-250205000545,M0106-003423,15/04/2025,5,1,I630柔性线_北京,3.5,0.5,北京,2
MO-250205000544,M0106-003423,15/04/2025,6,1,北村800_北京,13.3,0.5,北京,2
MO-250205000544,M0106-003423,15/04/2025,6,1,I630柔性线_北京,3.5,0.5,北京,2
MO-250205000543,M0106-003423,15/04/2025,7,1,北村800_北京,13.3,0.5,北京,2
MO-250205000543,M0106-003423,15/04/2025,7,1,I630柔性线_北京,3.5,0.5,北京,2
MO-250205000542,M0106-003423,15/04/2025,8,1,北村800_北京,13.3,0.5,北京,2
MO-250205000542,M0106-003423,15/04/2025,8,1,I630柔性线_北京,3.5,0.5,北京,2
MO-250205000541,M0106-003423,15/04/2025,9,1,北村800_北京,13.3,0.5,北京,2
MO-250205000541,M0106-003423,15/04/2025,9,1,I630柔性线_北京,3.5,0.5,北京,2
MO-250205000521,M0101-6347,15/04/2025,10,1,北村800_北京,8.7,0,北京,1
MO-250205000520,M0101-6347,15/04/2025,11,1,北村800_北京,8.7,0,北京,1
MO-250205000519,M0101-6347,15/04/2025,12,1,北村800_北京,8.7,0,北京,1
MO-250205000518,M0101-6346,15/04/2025,13,1,北村800_北京,8.8,0,北京,2
MO-250205000517,M0101-6346,15/04/2025,14,1,北村800_北京,8.8,0,北京,1
MO-250122000002,M0101-6346,15/04/2025,15,1,北村800_北京,8.8,0,北京,1
MO-250116000207,M0106-000575,15/04/2025,16,1,小立加_北京,9.5,2.5,北京,1
MO-250116000206,M0106-000575,15/04/2025,17,2,小立加_北京,19,2.5,北京,1
MO-250116000184,M0101-2375,15/04/2025,18,1,小立加_北京,5.93,0,北京,1
MO-250114000007,M0106-003423,15/04/2025,19,1,北村800_北京,13.3,0.5,北京,2
MO-250114000007,M0106-003423,15/04/2025,19,1,I630柔性线_北京,3.5,0.5,北京,2
MO-250114000006,M0106-003423,15/04/2025,20,1,北村800_北京,13.3,0.5,北京,2
MO-250114000006,M0106-003423,15/04/2025,20,1,I630柔性线_北京,3.5,0.5,北京,2
MO-250114000005,M0106-003423,15/04/2025,21,1,北村800_北京,13.3,0.5,北京,2
MO-250114000005,M0106-003423,15/04/2025,21,1,I630柔性线_北京,3.5,0.5,北京,2
MO-250114000004,M0106-003423,15/04/2025,22,1,北村800_北京,27.8,1,北京,2
MO-250114000004,M0106-003423,15/04/2025,22,1,I630柔性线_北京,3.5,0.5,北京,2
MO-250114000001,M0106-003423,15/04/2025,23,1,北村800_北京,27.8,1,北京,2
MO-250114000001,M0106-003423,15/04/2025,23,1,I630柔性线_北京,3.5,0.5,北京,2
MO-250110000239,M0106-000575,15/04/2025,24,2,小立加_北京,19,2.5,北京,1
MO-250110000238,M0106-000575,15/04/2025,25,3,小立加_北京,28.5,2.5,北京,1
MO-250110000237,M0106-000575,15/04/2025,26,1,小立加_北京,9.5,2.5,北京,1
MO-250108000038,M0106-005308,15/04/2025,27,2,小立加_北京,0,0,北京,1
MO-250108000031,M0106-003423,15/04/2025,28,1,北村800_北京,13.3,0.5,北京,2
MO-250108000031,M0106-003423,15/04/2025,28,1,I630柔性线_北京,3.5,0.5,北京,2
MO-250108000030,M0106-003423,15/04/2025,29,1,北村800_北京,13.3,0.5,北京,2
MO-250108000030,M0106-003423,15/04/2025,29,1,I630柔性线_北京,3.5,0.5,北京,2
MO-250108000022,M0101-4322,15/04/2025,30,1,小立加_北京,0,0,北京,1
MO-241226004300,M0101-4322,15/04/2025,31,1,小立加_北京,0,0,北京,1
MO-241218000009,M0106-003423,15/04/2025,32,1,北村800_北京,0,0,北京,1
MO-241218000007,M0106-003423,15/04/2025,33,1,北村800_北京,0,0,北京,1
MO-250210000021,M0101-8278,15/04/2025,34,1,北村800_北京,5.8,0,北京,1
MO-250209000017,M0106-004311,15/04/2025,35,2,I630柔性线_北京,13.4934,1.6166,北京,2
